Rank,Sentence,Cloze,Word,POS,Definition,Translation,Note,CEFR
10025,Dieser Raum ist größer als ihr standard {{c1::Gefrierschrank}}.,Gefrierschrank,Gefrierschrank,n. M.,freezer,This room is bigger than a commercial freezer.,,
10024,Ich hielt Sie für einen fehlgeleiteten {{c1::Idealisten}}.,Idealisten,Idealist,n. M.,idealist,I thought zou were just a misguided idealist.,,
10023,"Hör endlich auf, den sterbenden {{c1::Schwan}} zu spielen.",Schwan,Schwan,n. M.,Schwan,Please drop the whole dying swan act.,"This phrase is commonly used in German to tell someone to stop exaggerating their problems or to quit behaving in an overly dramatic or affected manner, similar to the English phrase ""stop playing the martyr."" The ""dying swan"" is a reference to a ballet piece where a swan character dies dramatically, hence it has become a metaphor for exaggerated suffering or melodrama.",
10022,Griechenland kann nicht ein Jahrzehnt in einer Depression {{c1::verharren}}. ,verharren,verharren,v.,verharren,Greece cannot remain in a depression for a decade.,,
10021,"Stellt euch {{c1::seitwärts}}, dann seid ihr weniger angreifbar.",seitwärts,seitwärts,adv.,sideways,"Stand sideways, you're less of a target.",,
10020,Bei {{c1::Schüchternheit}} geht es um Angst vor gesellschaftlichem Urteil.,Schüchternheit,Schüchternheit,n. F.,shyness,Shyness is about fear of social judgment.,,
10019,"Wieso habe ich nur das Gefühl, das das mit Ihrem {{c1::Widersacher}} in Verbindung steht?",Widersacher,Widersacher,n. M.,adversary,Why do I think this is connected to your adversary?,,
10018,Weiterhin wird eine Leuchte vorgeschlagen umfassend eine solche {{c1::Schaltung}}.,Schaltung,Schaltung,n. F.,"circuit, gearshift","Furthermore, a light is proposed comprising such a circuit",,
10017,Ich möchte nicht den Ruf eines Kameraden {{c1::besudeln}} wegen einer unbegründeten Behauptung.,besudeln,besudeln,v.,"sully, besmirch",I don't want to sully the reputation of a friend over an unsubstantiated allegation.,,
10016,"Die Datenbank kann {{c1::stündlich}}, täglich oder wöchentlich heruntergeladen werden.",stündlich,stündlich,"adv., adj.",hourly,"The database can be downloaded hourly, daily, or weekly.",,
10015,Der Stoß hätte einen wilden {{c1::Eber}} aufgespießt. ,Eber,Eber,n. M.,boar,That spear would have skewered a wild boar.,,
10014,Bei der Aktualisierung können zusätzliche Gebühren {{c1::anfallen}}.,anfallen,anfallen,v.,"accrue, accumulate",Additional charges may also arise when updating.,,
10013,Ihr seid nur zwei {{c1::nichtsnutzige}} Kriminelle.,nichtsnutzige,nichtsnutzig,adj.,worthless,You're just a pair of worthless criminals.,,
10012,"Und ich darf intervenieren, falls Sie sich zu sehr {{c1::verausgaben}}.",verausgaben,verausgaben,v.,"exert oneself, overspend",I have the right to intervene if you exert yourself too much.,The speaker is allowed or has the permission to step in if the person they are talking to is overworking or pushing themselves too hard.,
10011,Das wäre ein herber {{c1::Rückschlag}} für den Verbraucherschutz.,Rückschlag,Rückschlag,n. M.,setback,It would be a bitter setback for consumer protection.,,
10010,Kommen Sie bloß nicht an den Abzug mit Ihren {{c1::zittrigen}} Händen.,zittrigen,zittrig,adj.,shaky; adv.: shakily,Just do not touch the trigger with your shaky hands.,"""bloß"" is an adverb which adds emphasis to the negation, similar to the English ""just"" or ""merely"" in this context.",
10009,Es ist eine weitläufige {{c1::Oase}} des Friedens mit ihren schattenspendenden Bäumen.,Oase,Oase,n. F.,oasis,It is a spacious oasis of peace with its shade-giving trees.,,
