Deutsch,English
[Hallo]!,Hello
[Ich bin].,I am.
[Ich bin nicht].,I am not.
Ich bin [ein Mann].,I am a man.
Ich bin [zu Hause].,I am at home.
[Er ist] zu Hause,He is at home
Das ist [sehr] gut.,That's very good.
[Vielen Dank].,Thank you very much.
[Das ist] sehr interessant.,This is very interesting.
[Das ist nicht] interessant.,This is not interesting.
Das ist [mein Freund].,This is my friend.
Sie ist [meine Freundin].,She is my friend.
Das sind [meine Kollegen].,These are my colleagues.
Ist das [dein Handy]?,Is this your cell phone?
"Nein, das ist nicht [mein Handy].","No, this is not my cell phone."
Ich bin [hier].,I'm here.
Kennst du [diese Person]?,Do you know this person?
[Sprichst du] Deutsch?,Do you speak German?
[Ich spreche kein] Deutsch.,I don't speak German.
[Ich spreche] Englisch.,I speak English.
[Tschüss]!,Bye!
[Ich weiß nicht].,I don't know.
"[Nein], danke!","No, thank you!"
[Entschuldigung]!,Sorry!
Das ist sehr [gut].,That's very good.
[Es tut mir leid].,I'm sorry.
[Kein Problem]!,No problem!
"[Ich denke, dass] das stimmt.",I think that's right.
[Ich denke nicht] daran.,I don't think about it.
Sie hat [zwei Kinder].,She has two children.
[Ich habe] drei Brüder.,I have three brothers.
[Ich habe keine] Kinder.,I don't have children.
[Warum] nicht?,Why not?
Er hat eine [große] Familie.,He has a big family.
[Was] denkst du?,What do you think?
[Wie heißt du]?,What's your name?
[Es gibt] ein Problem.,There's a problem.
[Ich heiße] Johanna.,My name is Johanna.
[Der Hund] ist sehr groß.,The dog is very big.
Er hat [viele] Freunde.,He has many friends.
[Das Kind] isst einen Apfel.,The child is eating an apple.
[Die Kinder] schlafen schon.,The children are already asleep.
Wo ist [die Toilette]?,Where is the toilet?
"[Es geht mir gut], danke.","I am fine, thank you."
[Das sind] meine Kinder.,These are my children.
[Und dir]?,And you?
[Mir gefällt] dieses Auto.,I like this car.
Es funktioniert [gut].,It works well.
[Er hat] viele Freunde.,He has many friends.
[Ich mag] das [nicht].,I don't like it.
[Das sind nicht] meine Sachen.,It's not my stuff.
[Wie geht es dir]?,How are you?
"Ja, [ich weiß].","Yes, I know."
[Wie] war das Konzert?,How was the concert?
Ich denke [auch] so.,I think so too.
Ich habe [drei] Brüder.,I have three brothers.
Das ist nicht [mein Auto].,That's not my car.
